"No.","Time","Source","Destination","Protocol","Info"
"199","83.433305","192.168.1.49","224.0.0.10","EIGRP","Hello"
"200","83.733363","192.168.1.49","224.0.0.2","LDP","Hello Message "
"201","83.760451","150.1.11.17","150.1.11.18","TCP","46428 > bgp [SYN] Seq=0 Win=16384 Len=0 MSS=1460"
"202","83.761377","150.1.11.18","150.1.11.17","TCP","bgp > 46428 [SYN, ACK] Seq=0 Ack=1 Win=16384 Len=0 MSS=1460"
"203","83.764587","150.1.11.17","150.1.11.18","TCP","46428 > bgp [ACK] Seq=1 Ack=1 Win=16384 Len=0"
"204","83.778586","150.1.11.17","150.1.11.18","BGP","OPEN Message"
"205","83.781892","150.1.11.18","150.1.11.17","BGP","OPEN Message, KEEPALIVE Message"
"206","83.784645","150.1.11.17","150.1.11.18","BGP","KEEPALIVE Message"
"207","84.000011","150.1.11.18","150.1.11.17","TCP","bgp > 46428 [ACK] Seq=65 Ack=65 Win=16320 Len=0"
"208","85.594927","192.168.1.50","224.0.0.2","LDP","Hello Message "
"209","85.632587","192.168.1.17","192.168.1.33","BGP","KEEPALIVE Message"
"210","85.712692","192.168.1.33","192.168.1.17","BGP","KEEPALIVE Message"
"211","85.935015","192.168.1.17","192.168.1.33","TCP","51661 > bgp [ACK] Seq=111 Ack=111 Win=16274 Len=0"
"212","87.608076","192.168.1.50","224.0.0.10","EIGRP","Hello"
"213","87.848799","192.168.1.49","224.0.0.2","LDP","Hello Message "
"214","88.340089","192.168.1.49","224.0.0.10","EIGRP","Hello"
"215","90.394438","192.168.1.50","224.0.0.2","LDP","Hello Message "
"216","91.863940","192.168.1.49","224.0.0.2","LDP","Hello Message "
"217","92.301624","192.168.1.50","224.0.0.10","EIGRP","Hello"
"218","92.749970","192.168.1.49","224.0.0.10","EIGRP","Hello"
"219","92.853927","","","Q.933","STATUS ENQUIRY"
"220","92.856056","","","Q.933","STATUS"
"221","92.911041","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"222","94.694175","192.168.1.50","224.0.0.2","LDP","Hello Message "
"223","95.856434","192.168.1.49","224.0.0.2","LDP","Hello Message "
"224","96.891330","192.168.1.50","224.0.0.10","EIGRP","Hello"
"225","97.666886","192.168.1.49","224.0.0.10","EIGRP","Hello"
"226","98.599595","192.168.1.50","224.0.0.2","LDP","Hello Message "
"227","100.569161","192.168.1.49","224.0.0.2","LDP","Hello Message "
"228","101.408063","192.168.1.50","224.0.0.10","EIGRP","Hello"
"229","102.072544","192.168.1.49","224.0.0.10","EIGRP","Hello"
"230","102.602400","192.168.1.50","224.0.0.2","LDP","Hello Message "
"231","102.847546","","","Q.933","STATUS ENQUIRY"
"232","102.848625","","","Q.933","STATUS"
"233","102.932549","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"234","105.576441","192.168.1.49","224.0.0.2","LDP","Hello Message "
"235","105.923653","192.168.1.50","224.0.0.10","EIGRP","Hello"
"236","106.978249","192.168.1.49","224.0.0.10","EIGRP","Hello"
"237","107.510617","192.168.1.50","224.0.0.2","LDP","Hello Message "
"238","108.592987","150.1.11.49","150.1.11.50","BGP","KEEPALIVE Message"
"239","108.598982","150.1.11.50","150.1.11.49","BGP","KEEPALIVE Message"
"240","108.613783","150.1.11.49","150.1.11.50","BGP","UPDATE Message"
"241","108.837651","150.1.11.50","150.1.11.49","TCP","bgp > 38417 [ACK] Seq=84 Ack=147 Win=16238 Len=0"
"242","110.254970","150.1.11.33","150.1.11.34","BGP","KEEPALIVE Message"
"243","110.256420","150.1.11.34","150.1.11.33","BGP","KEEPALIVE Message"
"244","110.385225","192.168.1.49","224.0.0.2","LDP","Hello Message "
"245","110.458528","150.1.11.33","150.1.11.34","TCP","bgp > 45891 [ACK] Seq=84 Ack=84 Win=16301 Len=0"
"246","110.817884","192.168.1.50","224.0.0.10","EIGRP","Hello"
"247","111.308593","192.168.1.49","224.0.0.10","EIGRP","Hello"
"248","111.610965","192.168.1.17","192.168.1.81","LDP","Keep Alive Message "
"249","111.612149","192.168.1.81","192.168.1.17","TCP","53606 > ldp [ACK] Seq=287 Ack=291 Win=3838 Len=0"
"250","112.109403","192.168.1.50","224.0.0.2","LDP","Hello Message "
"251","112.852235","","","Q.933","STATUS ENQUIRY"
"252","112.852378","","","Q.933","STATUS"
"253","112.946581","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"254","113.843662","150.1.11.17","150.1.11.18","BGP","KEEPALIVE Message"
"255","113.845808","150.1.11.18","150.1.11.17","BGP","KEEPALIVE Message"
"256","113.872592","150.1.11.17","150.1.11.18","BGP","UPDATE Message"
"257","114.077592","150.1.11.18","150.1.11.17","TCP","bgp > 46428 [ACK] Seq=84 Ack=147 Win=16238 Len=0"
"258","114.182234","192.168.1.49","224.0.0.2","LDP","Hello Message "
"259","115.206038","192.168.1.50","224.0.0.10","EIGRP","Hello"
"260","116.293282","192.168.1.49","224.0.0.10","EIGRP","Hello"
"261","116.922169","192.168.1.50","224.0.0.2","LDP","Hello Message "
"262","116.953590","192.168.1.81","192.168.1.17","LDP","Keep Alive Message "
"263","116.954567","192.168.1.17","192.168.1.81","TCP","ldp > 53606 [ACK] Seq=291 Ack=305 Win=3824 Len=0"
"264","117.830282","150.1.11.33","150.1.11.34","BGP","UPDATE Message"
"265","118.017845","150.1.11.34","150.1.11.33","TCP","45891 > bgp [ACK] Seq=84 Ack=152 Win=16233 Len=0"
"266","118.080100","","","CDP","Device ID: CE12A  Port ID: Serial0/0.113  "
"267","118.213461","","","CDP","Device ID: CE11B  Port ID: Serial0/0.102  "
"268","118.214096","","","CDP","Device ID: PE11  Port ID: Serial0/0.101  "
"269","118.214147","","","CDP","Device ID: PE11  Port ID: Serial0/0.102  "
"270","118.214184","","","CDP","Device ID: PE11  Port ID: Serial0/0.111  "
"271","118.226408","","","CDP","Device ID: CE11A  Port ID: Serial0/0.101  "
"272","118.247464","","","CDP","Device ID: P11  Port ID: Serial0/0.111  "
"273","118.286414","","","CDP","Device ID: PE11  Port ID: Serial0/0.113  "
"274","118.286707","192.168.1.49","224.0.0.2","LDP","Hello Message "
"275","118.939683","150.1.11.18","150.1.11.17","BGP","UPDATE Message, UPDATE Message"
"276","118.945393","150.1.11.50","150.1.11.49","BGP","UPDATE Message, UPDATE Message"
"277","118.945604","192.168.1.17","192.168.1.33","BGP","UPDATE Message, UPDATE Message, UPDATE Message, UPDATE Message"
